==========================================
Atan Simulation
==========================================
At                  350ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                  360ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                  370ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                  380ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                  390ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                  400ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                  410ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                  420ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                  430ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                  440ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                  450ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                  460ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                  470ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                  480ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                  490ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                  500ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                  510ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                  520ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                  530ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                  540ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                  550ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                  560ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
